home_team,away_team,home_indicator,diff_OPS,diff_AVG,diff_OBP,diff_SLG,diff_R,diff_HR,diff_ERA,diff_WHIP,diff_SO,diff_OBA,diff_HR_allowed,Winner
Los Angeles Angels,St. Louis Cardinals,1,-0.051000000000000045,-0.04600000000000001,-0.04899999999999999,-0.0030000000000000027,-18,10,1.54,0.14000000000000012,-8,0.023999999999999994,10,0
Los Angeles Angels,San Diego Padres,1,-0.03300000000000003,-0.04000000000000001,-0.04899999999999999,0.015000000000000013,-12,11,1.3599999999999999,0.27,-5,0.05399999999999999,5,1
Los Angeles Angels,Tampa Bay Rays,1,-0.014000000000000012,-0.033,-0.031000000000000028,0.016000000000000014,-5,11,0.8399999999999999,0.31000000000000005,10,0.04899999999999999,-3,0
Los Angeles Angels,New York Yankees,1,-0.09599999999999997,-0.023999999999999994,-0.04400000000000004,-0.05299999999999999,-31,-3,0.5899999999999999,0.10000000000000009,-2,0.015999999999999986,0,0
Los Angeles Angels,Toronto Blue Jays,1,0.028000000000000025,-0.021999999999999992,-0.03200000000000003,0.059,0,18,0.56,0.27,-17,0.037000000000000005,-7,0
Los Angeles Angels,Chicago Cubs,1,-0.040000000000000036,-0.02099999999999999,-0.041000000000000036,0.0010000000000000009,-48,3,0.48,0.21999999999999997,-12,0.017999999999999988,-11,0
Los Angeles Angels,Miami Marlins,1,0.03200000000000003,-0.02099999999999999,-0.028000000000000025,0.059,1,18,0.45999999999999996,0.21999999999999997,11,0.022999999999999993,4,1
Los Angeles Angels,Arizona Diamondbacks,1,-0.06700000000000006,-0.01999999999999999,-0.04799999999999999,-0.020000000000000018,-28,4,0.44999999999999973,0.07000000000000006,-1,0.01899999999999999,2,0
Los Angeles Angels,Athletics,1,-0.016000000000000014,-0.017999999999999988,-0.015000000000000013,-0.0030000000000000027,-12,3,0.41000000000000014,0.2100000000000002,16,0.033,-3,0
Los Angeles Angels,Boston Red Sox,1,0.031000000000000028,-0.012999999999999984,-0.02100000000000002,0.04999999999999999,-10,13,0.18999999999999995,0.2100000000000002,-21,0.04000000000000001,1,1
Los Angeles Angels,Philadelphia Phillies,1,0.02100000000000002,-0.004999999999999977,-0.030000000000000027,0.04999999999999999,2,12,0.17999999999999972,0.14000000000000012,-2,0.010000000000000009,-2,1
Los Angeles Angels,Los Angeles Dodgers,1,-0.030000000000000027,-0.003999999999999976,-0.025000000000000022,-0.006000000000000005,-17,-4,0.10000000000000009,0.14000000000000012,4,0.02099999999999999,7,0
Los Angeles Angels,Detroit Tigers,1,0.02200000000000002,-0.003999999999999976,-0.018000000000000016,0.03799999999999998,-5,10,0.06000000000000005,0.050000000000000044,-32,0.024999999999999994,-1,0
Los Angeles Angels,Milwaukee Brewers,1,0.04200000000000004,-0.0009999999999999731,-0.008000000000000007,0.04899999999999999,-16,9,0.0,-0.010000000000000009,19,0.0,-2,1
Los Angeles Angels,San Francisco Giants,1,0.0020000000000000018,0.0,-0.014000000000000012,0.015000000000000013,-24,9,-0.15000000000000036,0.14000000000000012,-13,0.01999999999999999,-2,0
Los Angeles Angels,Baltimore Orioles,1,0.039000000000000035,0.0010000000000000009,-0.0010000000000000009,0.03999999999999998,-2,10,-0.15000000000000036,0.19000000000000017,23,0.026999999999999996,6,1
Los Angeles Angels,Cleveland Guardians,1,0.04499999999999993,0.0050000000000000044,-0.009000000000000008,0.05299999999999999,10,10,-0.21999999999999975,-0.039999999999999813,2,-0.0040000000000000036,-5,1
